date,nav,cash,holding
2023-01-02,100000.0,100000.0,0
2023-01-03,100000.0,100000.0,0
2023-01-04,100000.0,100000.0,0
2023-01-05,100000.0,100000.0,0
2023-01-06,100000.0,100000.0,0
2023-01-09,100000.0,100000.0,0
2023-01-10,100000.0,100000.0,0
2023-01-11,100000.0,100000.0,0
2023-01-12,100000.0,100000.0,0
2023-01-13,100000.0,100000.0,0
2023-01-16,100000.0,100000.0,0
2023-01-17,100000.0,100000.0,0
2023-01-18,100000.0,100000.0,0
2023-01-19,100000.0,100000.0,0
2023-01-20,100000.0,100000.0,0
2023-01-23,100000.0,100000.0,0
2023-01-24,100000.0,100000.0,0
2023-01-25,100000.0,100000.0,0
2023-01-26,100000.0,99858.0,1
2023-01-27,100019.0,100019.0,0
2023-01-30,100019.0,100019.0,0
2023-01-31,100019.0,99907.0,1
2023-02-01,100019.0,99907.0,1
2023-02-02,99977.0,99977.0,0
2023-02-03,99977.0,99977.0,0
2023-02-06,99977.0,99977.0,0
2023-02-07,99977.0,99977.0,0
2023-02-08,99977.0,99977.0,0
2023-02-09,99977.0,99977.0,0
2023-02-10,99977.0,99977.0,0
2023-02-13,99977.0,99977.0,0
2023-02-14,99977.0,99623.0,1
2023-02-15,99977.0,99623.0,1
2023-02-16,99977.0,99623.0,1
2023-02-17,99977.0,99623.0,1
2023-02-20,99974.0,99974.0,0
2023-02-21,99974.0,99974.0,0
2023-02-22,99974.0,99974.0,0
2023-02-23,99974.0,99974.0,0
2023-02-24,99974.0,99974.0,0
2023-02-27,99974.0,99974.0,0
2023-02-28,99974.0,99974.0,0
2023-03-01,99974.0,99974.0,0
2023-03-02,99974.0,99974.0,0
2023-03-03,99974.0,99974.0,0
2023-03-06,99974.0,99974.0,0
2023-03-07,99974.0,99974.0,0
2023-03-08,99974.0,99974.0,0
2023-03-09,99974.0,98693.0,1
2023-03-10,100021.0,100021.0,0
2023-03-13,100021.0,100021.0,0
2023-03-14,100021.0,100021.0,0
2023-03-15,100021.0,100021.0,0
2023-03-16,100021.0,100021.0,0
2023-03-17,100021.0,98790.0,1
2023-03-20,100123.0,98790.0,1
2023-03-21,100021.0,98790.0,1
2023-03-22,100021.0,98790.0,1
2023-03-23,100050.0,100050.0,0
2023-03-24,100050.0,98833.0,1
2023-03-27,100114.0,98833.0,1
2023-03-28,100050.0,98833.0,1
2023-03-29,100050.0,98833.0,1
2023-03-30,100090.0,100090.0,0
2023-03-31,100090.0,98871.0,1
2023-04-03,100184.0,98871.0,1
2023-04-04,100090.0,98871.0,1
2023-04-05,100090.0,98871.0,1
2023-04-06,100090.0,98871.0,1
2023-04-07,100090.0,98871.0,1
2023-04-10,100206.0,98871.0,1
2023-04-11,100090.0,98871.0,1
2023-04-12,100090.0,98871.0,1
2023-04-13,100090.0,98871.0,1
2023-04-14,100090.0,98871.0,1
2023-04-17,100198.0,100198.0,0
2023-04-18,100198.0,100198.0,0
2023-04-19,100198.0,100198.0,0
2023-04-20,100198.0,100198.0,0
2023-04-21,100198.0,100198.0,0
2023-04-24,100198.0,100198.0,0
2023-04-25,100198.0,100198.0,0
2023-04-26,100198.0,99489.0,1
2023-04-27,100198.0,99489.0,1
